"DISA RED DE SERVICIOS PETROLIFEROS, S.A.",MI ENERGIA DISA,PROMOCION DE LANZAMIENTO DE LA NUEVA APP. Te permite ahorrar hasta 10cts/l. EN TODA LA RED.,,10.000,C�ntimos de euro en cada litro,Todos los consumidores
"DISA RETAIL ATLANTICO, S.L.U",MI ENERGIA DISA,PROMOCION DE LANZAMIENTO DE LA NUEVA APP. Te permite ahorrar hasta 10cts/l. EN TODA LA RED.,,5.000,C�ntimos de euro en cada litro,Todos los consumidores
"DISA RETAIL ATLANTICO, S.L.U",LIDL PLUS,PROMOCION 4% DESCUENTO A CLIENTES LIDL PLUS. EN TODA LA RED.,,4.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA RETAIL ATLANTICO, S.L.U",TOPii - APP ING,AHORRA UN 4% EN CADA REPOSTAJE UTILIZANDO LA APP TOPii de ING. EN TODA LA RED.,,4.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA PENINSULA, S.L.U",MI ENERGIA DISA,PROMOCION DE LANZAMIENTO DE LA NUEVA APP. Te permite ahorrar hasta 50cts/l.  en Estaciones de Servicio SHELL,,5.000,C�ntimos de euro en cada litro,Todos los consumidores
"DISA PENINSULA, S.L.U",TOPii - APP ING,AHORRA UN 4% EN CADA REPOSTAJE UTILIZANDO LA APP TOPii de ING en las estaciones de servicio SHELL.,,4.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA PENINSULA, S.L.U",LIDL PLUS,Promoci�n 4% Descuento a Clientes LIDL PLUS en Estaciones de Servicio SHELL,,4.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA PENINSULA, S.L.U",DESCUENTO A CLIENTES CAIXABANK,Promoci�n 3% Descuento a Clientes CAIXABANK en Estaciones de Servicio SHELL,,3.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA PENINSULA, S.L.U",DESCUENTO A CLIENTES IKEA,Promoci�n 3% Descuento a Clientes IKEA en Estaciones de Servicio SHELL,,3.000,Porcentaje sobre el precio total,Todos los consumidores
EMPRESAS DEL GRUPO REPSOL,Internacionales,"Tarjeta profesional de pago privada y emitida por entidades extranjeras, para clientes extranjeros aceptadas en EESS Repsol.",,,,Todos los consumidores
EMPRESAS DEL GRUPO REPSOL,Solred M�s,Tarjeta profesional privada con prepago en el momento de la operaci�n.,,,,Todos los consumidores
EMPRESAS DEL GRUPO REPSOL,Edenred,Tarjeta profesional emitida por una entidad de pago con un descuento prefijado (tarjeta mixta).,,3.000,Porcentaje sobre el precio total,Todos los consumidores
EMPRESAS DEL GRUPO REPSOL,Tarjeta El Corte Ingl�s,Todos los clientes que realicen sus pagos con la Nueva tarjeta El Corte Ingl�s acumular�n el 4% del importe total para compras Los Centros El Corte Ingl�s,,4.000,Porcentaje sobre el precio total,Todos los consumidores
GALP ENERG�A ESPA�A S.A.,GALP FLOTA BUSINESS - Baleares,Tarjeta de descuento inmediato para colectivos y asociados.,,3.000,C�ntimos de euro en cada litro,Todos los consumidores
GALP ENERG�A ESPA�A S.A.,TOPii,Ahorra un 4% con cada compra de carburante utilizando la Aplicaci�n TOPii,,4.000,Porcentaje sobre el precio total,Todos los consumidores
